Line #,Name,Description,Designator,Revision ID,Revision State,Revision Status,Quantity,APN,DNP,LOAD,MFT,RATING,TYPE,VALUE,MPN,Manufacturer Part Number,Footprint,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1
"","","Fixed Inductors MSS6132 AEC-Q200 15 uH 20 % 2.2 A","L1","","Not managed","","1","","","","Coilcraft","","SMD","15uH","MSS6132-153MLC","","MSS6132-153MLC","Coilcraft","MSS6132-153MLC","Volume Production","Mouser","994-MSS6132-153MLC","1.38","1.38"
"","BLM21PG121SN1D","FERRITE CHIP 120 OHM 0805","L2","","Not managed","","1","","","","Murata Electronics North America","3A","Surface Mount","120 Ohm","BLM21PG121SN1D","","0805 INDUCTOR","Murata","BLM21PG121SN1D","Volume Production","Arrow Electronics","BLM21PG121SN1D","0.0918","0.0918"
"","LQP15MN3N0B02D","FIXED IND 3NH 190MA 400 MOHM SMD","L3","","Not managed","","1","LZ-00030-L7-00","","","Murata","","SMD","3nH","LQP15MN3N0B02D","","INDC1005X45N","Murata","LQP15MN3N0B02D","Volume Production","Arrow Electronics","LQP15MN3N0B02D","0.079","0.079"
"","LQP15MN4N3B02D","FIXED IND 4.3NH 160MA 600 MOHM","L4","","Not managed","","1","LZ-00431-L7-00","","","Murata","","","4.3nH","LQP15MN4N3B02D","","INDC1005X45N","Murata","LQP15MN4N3B02D","Volume Production","Arrow Electronics","LQP15MN4N3B02D","0.0876","0.0876"
"","LQP15MN5N1B02D","Inductor RF Chip ThFIXED IND 5.1NH 140MA 700 MOHM","L5","","Not managed","","1","LZ-00511-L7-00","","","Murata","","SMD","5.1nH","LQP15MN5N1B02D","","INDC1005X45N","Murata","LQP15MN5N1B02D","Volume Production","Arrow Electronics","LQP15MN5N1B02D","0.1271","0.1271"
"","LQP15MN2N7B02D","FIXED IND 2.7NH 220MA 300 MOHM","L6","","Not managed","","1","LZ-00271-L7-00","","","Murata","","SMD","2.7nH","LQP15MN2N7B02D","","INDC1005X45N","Murata","LQP15MN2N7B02D","Volume Production","Arrow Electronics","LQP15MN2N7B02D","0.1516","0.1516"
"","LQP18MN33NG02D","FIXED IND 33NH 100MA 2.8 OHM SMD","L7","","Not managed","","1","","","","Murata Electronics North America","100MA 2.8 OHM","SMD","33nH","LQP18MN33NG02D","","0603 INDUCTOR","Murata","LQP18MN33NG02D","Volume Production","Arrow Electronics","LQP18MN33NG02D","0.167","0.167"
"","1985218","Fixed Terminal Blocks PTSA 1.5/4-3.5-Z","P1","","Not managed","","1","","","","Phoenix Contact","","Through Hole","1985218","1985218","","1985218 (4pin)","Phoenix Contact","1985218","Volume Production","Allied Electronics","70055071","0.51","0.51"
"","1985234","TERM BLOCK PCB 6POS 3.5MM GREEN","P2","","Not managed","","1","","","","Phoenix Contact","","Through Hole","1985234","1985234","","1985234 (6 PIN)","Phoenix Contact","1985234","Volume Production","Farnell","1792773","0.79955","0.79955"
"","0022284060","CONN HEADER 6POS .100 VERT TIN","P105, P107","","Not managed","","2","","","","Molex Inc","","TH","0022284060","0022284060","","HDR1X6","Molex","22-28-4060","Volume Production","Newark","94C4038","0.105","0.21"
"","NUD3124LT1G","IC INDCT LOAD DRVR AUTO SOT23","Q1, Q3","","Not managed","","2","","","","ON Semiconductor","","Surface Mount","NUD3124LT1G","NUD3124LT1G","","SOT-23-3","ON Semiconductor","NUD3124LT1G","Volume Production","Newark","04R7856","0.134","0.268"
"","BCX56-16,115","TRANS NPN MED 1A 80V SOT89","Q2","","Not managed","","1","","","","","","","","","BCX56-16,115","SOT 89-3","Nexperia","BCX56-16,115","Unknown","Digi-Key","1727-2930-6-ND","0.39","0.39"
"","MCS04020C1001FE000","RES SMD 1K OHM 1% 1/10W 0402","R1, R11, R17, R18, R30, R36, R37, R38, R39","","Not managed","","9","","","","Vishay Beyschlag","1/10W","SMD","1k","MCS04020C1001FE000","","R0402","Vishay Beyschlag","MCS04020C1001FE000","Volume Production","Newark","65AC3521","0.234","2.11"
"","","RES SMD 31.6K OHM 1% 1/10W 0603","R2","","Not managed","","1","","","","Panasonic","1/10W","SMD","31.6k","ERJ-3EKF3162V","","R0603","KOA Speer","RK73H1JTTDD3162F","Volume Production","Arrow Electronics","RK73H1JTTDD3162F","0.002","0.002"
"","ERJ-3EKF1002V","RES SMD 10K OHM 1% 1/10W 0603","R3","","Not managed","","1","","","","Panasonic Electronic Components","0.1W, 1/10W","Surface Mount","10k","ERJ-3EKF1002V","","R0603","Vishay","CRCW0603-10K0FKEA","Volume Production","Newark","61M5335","0.003","0.003"
"","RC0402FR-0743KL","RES SMD 43K OHM 1% 1/16W 0402","R4","","Not managed","","1","RQ-0433-R7-C","","","Yageo","1/16W","SMD","43k","RC0402FR-0743KL","","RESC1005X40N","Vishay","CRCW040243K0FKED","Volume Production","Newark","26W9119","0.003","0.03"
"","RC0402FR-0747KL","RES SMD 47K OHM 1% 1/16W 0402","R5, R19","","Not managed","","2","RQ-0473-R7-C","","","Yageo","1/16W","SMD","47k","RC0402FR-0747KL","","R0402","Bourns","CR0402-FX-4702GLF","Volume Production","Newark","87W5956","0.003","0.006"
"","RC0402FR-071K5L","RES SMD 1.5K OHM 1% 1/16W 0402","R6","","Not managed","","1","RQ-0154-R7-C","","","Yageo","1% 1/16W","SMD","1.5k","RC0402FR-071K5L","","RESC1005X40N","Vishay","CRCW0402-1K50FKED","Volume Production","Newark","42K3374","0.003","0.003"
"","ERJ-2RKF4220X","RES SMD 422 OHM 1% 1/10W 0402","R7","","Not managed","","1","","","","Panasonic Electronic Components","1/10W","SMD","422","ERJ-2RKF4220X","","R0402","Samsung","RC1005F4220CS","Volume Production","Arrow Electronics","RC1005F4220CS","0.036","0.036"
"","RT0402FRE074K7L","RES SMD 4.7K OHM 1% 1/16W 0402","R8","","Not managed","","1","","","","Yageo","1/16W","SMD","4.7k","RT0402FRE074K7L","","R0402","Yageo","RC0402FR-074K7L","Volume Production","Newark","75X0133","0.004","0.004"
"","CRCW0402330RFKED","RES SMD 330 OHM 1% 1/16W 0402","R9, R10, R28, R40, R41","","Not managed","","5","","","","Vishay Dale","1/16W","SMD","330","CRCW0402330RFKED","","R0402","TE Connectivity","CRG0402F330R","Volume Production","Arrow Electronics","CRG0402F330R","0.0019","0.0095"
"","RC0402FR-071K2L","RES SMD 1.2K OHM 1% 1/16W 0402","R12","","Not managed","","1","","","","Yageo","1/16W","SMD","1.2k","RC0402FR-071K2L","","RESC1005X40N","Vishay","CRCW04021K20FKED","Volume Production","Newark","89M6589","0.005","0.005"
"","MCS04020C1001FE000","RES SMD 1K OHM 1% 1/10W 0402","R13, R25, R26","","Not managed","","3","","DNP","","Vishay Beyschlag","1/10W","SMD","1k","MCS04020C1001FE000","","R0402","Panasonic","ERJ-2RKF1001X","Volume Production","Newark","38AH8221","0.006","0.018"
"","CRCW0402330RFKED","RES SMD 330 OHM 1% 1/16W 0402","R14, R15","","Not managed","","2","","DNP","","Vishay Dale","1/16W","SMD","330","CRCW0402330RFKED","","R0402","TE Connectivity","CRG0402F330R","Volume Production","Arrow Electronics","CRG0402F330R","0.0019","0.0038"
"","MCS04020C4701FE000","RES SMD 4.7K OHM 1% 1/10W 0402","R16","","Not managed","","1","","","","Vishay Beyschlag","1/10W","SMD","4.7k","MCS04020C4701FE000","","R0402","Panasonic","ERJ-2RKF4701X","Volume Production","Newark","64R5288","0.003","0.003"
"","ERA-3AEB683V","RES SMD 68K OHM 0.1% 1/10W 0603","R20, R23","","Not managed","","2","","","","Panasonic Electronic Components","1/10W","SMD","68k","ERA-3AEB683V","","R0603","Susumu","RG1608P-683-B-T5","Volume Production","Arrow Electronics","RG1608P-683-B-T5","0.0939","0.1878"
"","","RES SMD 0.0OHM JUMPER 1/16W 0402","R21, R27","","Not managed","","2","","","","Vishay Dale","63mW","Surface Mount","0.0","CRCW04020000Z0ED","","R0402","Vishay","CRCW04020000Z0ED","Volume Production","Newark","24W1849","0.004","0.008"
"","ERA-3AEB562V","RES SMD 5.6K OHM 0.1% 1/10W 0603","R22, R24","","Not managed","","2","","","","Panasonic Electronic Components","1/10W","SMD","5.6k","ERA-3AEB562V","","R0603","Panasonic","ERA-3AEB562V","Volume Production","Newark","01X1328","0.015","0.03"
"","","RES 1K OHM 1% 1/2W 1206","R29","","Not managed","","1","","","","Stackpole Electronics","1/2W","SMD","1k","RNCP1206FTD1K00","","R1206","Vishay Dale","CRCW12061K00FKEAHP","Volume Production","Newark","68R3002","0.039","0.039"
"","MCS04020Z0000ZE000","RES SMD 0.0OHM JUMPER 1/10W 0402","R31","","Not managed","","1","","","DNP","Vishay Beyschlag","0.1W","Surface Mount","0.0","MCS04020Z0000ZE000","","R0402","","","","","","",""
"","CRCW2010470RJNEF","RES Thick Film, 470O, 5%, 0.75W, 200ppm/°C, 2010","R32","CMP-02407-006305-1","New From Design","Up to date","1","","","","","","","","","","FP-CRCW2010-e3-MFG","Panasonic","ERJ-12ZYJ471U","Volume Production","Newark","53W4089","0.027","0.027"
"","MCS04020Z0000ZE000","RES SMD 0.0OHM JUMPER 1/10W 0402","R33","","Not managed","","1","","","","Vishay Beyschlag","0.1W","Surface Mount","0.0","MCS04020Z0000ZE000","","R0402","","","","","","",""
"","42-100017-01","Shield","SH1","","Not managed","","1","","","","TSC","","SMD","42-100017-01","42-100017-01","","42-100017-01(Shield)","","","","","","",""
"","SMAJ22CA","TVS Diodes - Transient Voltage Suppressors 22Vr 400W 11.3A 5% BiDirectional","T2","","Not managed","","1","","","","Littelfuse","22 V","SMD/SMT","SMAJ22CA","SMAJ22CA","","DO-214AC","Littelfuse","SMAJ22CA","Volume Production","Newark","71J1991","0.086","0.086"
"","Test Point_2mm","Test Point 2mm","TP1, TP2, TP3, TP4, TP5, TP6, TP7","","Not managed","","7","","","","","","","","","","Test Point 2mm","","","","","","",""
"","Test Point_3mm","Test Point 3mm","TP8, TP9, TP10, TP11, TP12, TP13, TP14","","Not managed","","7","","","","","","","","","","Test Point 3mm","","","","","","",""
"","MCP16301T-I/CHY","IC REG BUCK ADJ 0.6A SOT23-6","U1","","Not managed","","1","","","","Microchip","0.6A","SMD","MCP16301T-I/CHY","MCP16301T-I/CHY","","SOT-23-6","Microchip","MCP16301T-I/CHY","Volume Production","Newark","58T3650","0.847","0.847"
"","PSSI2021SAY,115","NXP - PSSI2021SAY,115 - IC, CURRENT REGULATOR, 75V, 50MA, 5-SOT-353, FULL REEL","U2","","Not managed","","1","","","","","","","","","PSSI2021SAY,115","SOT353","Nexperia","PSSI2021SAY,115","Unknown","Newark","70R7980","0.084","0.084"
"","LTV-357T","OPTOISOLATOR 3.75KV TRANS 4-SOP","U3, U4","","Not managed","","2","","","","Lite-On Inc.","3.75KV","SMD","LTV-357T","LTV-357T","","4SMD(gull wing)","Vishay Lite-On","LTV-356T","Volume Production","Mouser","859-LTV-356T","0.25","0.5"
"","SIM33ELA","A-GPS receiver, with built-in Antenna","U5","","Not managed","","1","","","","SIMCom","","","SIM33ELA","SIM33ELA","","SIM33ELA","","","","","","",""
"","JN5169/001Z","IC RF TXRX+MCU 802.15.4 40-VFQFN","U6","","Not managed","","1","U8-JN5169-X1-01","","","NXP Semiconductors","","SMD","JN5169/001Z","JN5169/001Z","","QFN50P600X600X100-41N","NXP Semiconductors","JN5169/001Z","Volume Production","Mouser","771-JN5169/001Z","5.62","5.62"
"","74AHC1G32GW,125","IC GATE OR 1CH 2-INP 5TSSOP","U7, U11","","Not managed","","2","UE-74AHC1G32-X1","","","Nexperia","","SMD","74AHC1G32GW,125","74AHC1G32GW,125","","SOT65P210X110-5N","Nexperia","74AHC1G32GW,125","Unknown","Digi-Key","1727-3150-1-ND","0.27","0.54"
"","M24C32-RMN6TP","IC EEPROM 32KBIT 400KHZ 8SO","U8","","Not managed","","1","","","","STMicroelectronics","","SMD","M24C32-RMN6TP","M24C32-RMN6TP","","8-SOIC","STMicroelectronics","M24C32-RMN6TP","Volume Production","Newark","51AC9289","0.09","0.09"
"","SE2431L-R","IC RF FRONT END MOD 2.4GHZ 24QFN","U9","","Not managed","","1","U8-SE2431L-X1","","","Skyworks","","SMD","SE2431L-R","SE2431L-R","","QFN40P300X400X90-25N-D","Skyworks Solutions","SE2431L-R","Volume Production","Digi-Key","863-1347-6-ND","3.28","3.28"
"","PCF85063TP/1Z","Real Time Clock Serial 8-Pin HWSON EP","U10","","Not managed","","1","U8-RTC-SON8","","","NXP Semiconductors","","SMD","PCF85063TP/1Z","PCF85063TP/1Z","","SON9P50_200X300X80L40X24T150N","NXP Semiconductors","PCF85063TP/1Z","Volume Production","Newark","68X3135","0.405","0.405"
"","KX122-1037","ACCELEROMETER 2-8G I2C/SPI 12LGA","U12","","Not managed","","1","","","","Kionix Inc.","","SMD","KX122-1037","KX122-1037","","KX122-1037"," Kionix Inc.","KX122-1037","Manual Solution","","","",""
"","ATSHA204A-XHDA-T","IC CRYPTO 4.5KB I2C","U14","","Not managed","","1","","","","Microchip Technology","","SMD","ATSHA204A-XHDA-T","ATSHA204A-XHDA-T","","TSSOP-8 (wide Body)","Microchip / Atmel","ATSHA204A-XHDA-T","Volume Production","Digi-Key","ATSHA204A-XHDA-TDKR-ND","0.66","0.66"
"","SN74LVC2G241DCTR","Dual Buffer/Driver With 3-State Outputs, DCT0008A, LARGE T&R","U15","CMP-0859-00564-3","Released","Up to date","1","","","","","Catalog","","","","","DCT0008A_L","Texas Instruments","SN74LVC2G241DCTR","Volume Production","Newark","76C4209","0.145","0.145"
"","FC-13532.7680KA-AG5","CRYSTAL 32.7680 KHZ 7.0PF SMD","Y1","","Not managed","","1","XZ-32761GH","","","Epson","","SMD","32.768kHz","FC-13532.7680KA-AG5","","XTAL320X150X80L75X150N","Epson","FC-135 32.7680KA-AG5","Not Recommended for New Design","Digi-Key","SER4271DKR-ND","0.38","0.38"
"","ABM8-32.000MHZ-9-D1G-T","CRYSTAL 32.0000MHZ 9PF SMD","Y2","","Not managed","","1","XZ-00326FH","","","Abracon","","SMD","32MHz","ABM8-32.000MHZ-9-D1G-T","","OSCCC320X250X80L75X100N","Abracon","ABM8-32.000MHZ-9-D1G-T","Unknown","Newark","01AH9081","0.236","0.236"
